#
#                  objname | hl_names(pgc)                                                                                                                                                                                           |       pgc |   modz |   mod0 |     al2000 |     de2000 |        v |      e_v |     vrad |   e_vrad |     vvir |     pa |   incl |   logr25 | e_logr25 |  type |  bar |  ring |  multiple | compactness |     t |   e_t |   logd25 | e_logd25 |  vmaxg | e_vmaxg|   vrot | e_vrot |    m21 |  e_m21 |   mfir |     ag |    btc |   ubtc |   bvtc |    itc |
#
  NGC0234                 | UGC00463,SDSSJ004332.39+142033.2,SDSSJ004332.37+142033.2,PGC002600,NGC0234,MCG+02-02-028,IRAS00409+1404,HIPASSJ0043+14,CGCG435-001,CGCG434-032,AGC000463,2MIG0086,2MASXJ00433238+1420334                                                                                                                             |      2600 |  34.07 |    NaN |    0.72566 |   14.34256 |     4448 |        3 |     4458 |        4 |     4485 |   75.5 |   40.0 |     0.11 |     0.03 | SABc  | B    |       |           |             |   5.2 |   0.6 |     1.20 |     0.03 | 100.96 |   3.77 | 156.95 |   6.17 |  15.45 |   0.19 |  11.65 |   0.40 |  12.91 |    NaN |    NaN |  12.02 |
  NGC0257                 | UGC00493,PGC002818,NGC0257,MCG+01-03-003,IRAS00454+0801,CGCG410-006,AGC000493,2MIG0092,2MASXJ00480150+0817494                                                                                                                                                                                                        |      2818 |  34.42 |    NaN |    0.80042 |    8.29706 |     5277 |        3 |     5277 |        3 |     5282 |   98.6 |   44.8 |     0.14 |     0.04 | Sc    |      |       |           |             |   5.8 |   0.6 |     1.26 |     0.04 | 182.88 |   3.72 | 259.45 |   5.70 |  15.03 |   0.14 |  12.12 |   0.24 |  12.79 |  -0.01 |   0.57 |  11.38 |
  IC1602                  | SDSSJ005551.89-095908.3,SDSSJ005551.88-095908.1,PGC003306,NPM1G-10.0031,MCG-02-03-047,IC1602,2MASXJ00555190-0959088                                                                                                                                                                                                  |      3306 |  36.91 |    NaN |    0.93108 |   -9.98566 |    16409 |        5 |      NaN |      NaN |    16322 |  149.0 |   57.0 |     0.13 |     0.02 | E     |      |       |           |             |  -4.0 |   1.8 |     1.03 |     0.04 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.16 |  14.93 |    NaN |    NaN |  12.73 |
  NGC0444                 | UGC00810,PGC004561,NGC0444,MCG+05-04-007,LGG018:[G93]013,KUG0113+308,KPG028A,IC1658,CGCG502-015,AGC000810,2MFGC00949,2MASXJ01154958+3104488                                                                                                                                                                          |      4561 |  34.28 |  33.46 |    1.26378 |   31.08018 |     4837 |        2 |     4836 |        4 |     4944 |  159.8 |   81.9 |     0.66 |     0.02 | Sc    |      |       |           |             |   6.4 |   0.9 |     1.20 |     0.03 | 117.59 |   2.58 | 118.77 |   2.61 |  15.57 |   0.14 |    NaN |   0.27 |  13.56 |  -0.18 |   0.55 |  13.05 |
  UGC00809                | UGC00809,PGC004563,MCG+06-03-027,KUG0113+335,CGCG520-033,2MFGC00953,2MASXJ01155185+3348388                                                                                                                                                                                                                           |      4563 |  33.99 |  34.13 |    1.26441 |   33.81073 |     4208 |        3 |     4208 |        4 |     4328 |   22.4 |   82.8 |     0.66 |     0.03 | Sc    |      |       |           |             |   5.9 |   0.5 |     1.08 |     0.04 | 142.70 |   3.70 | 143.83 |   3.74 |  15.64 |   0.14 |    NaN |   0.26 |  13.96 |  -0.19 |   0.50 |  13.50 |
  UGC00841                | UGC00841,PGC004735,MCG+05-04-015,KUG0116+327,CGCG502-025,2MFGC00992,2MASXJ01191000+3301500                                                                                                                                                                                                                           |      4735 |  34.59 |  33.99 |    1.31946 |   33.03049 |     5573 |        4 |     5573 |        5 |     5688 |   53.7 |   90.0 |     0.66 |     0.03 | Sbc   |      |       |           |             |   4.0 |   0.3 |     1.11 |     0.03 | 130.63 |   3.39 | 130.63 |    NaN |  16.56 |   0.20 |    NaN |   0.28 |  13.78 |    NaN |    NaN |  13.52 |
  PGC004901               | PGC004901,MCG+07-03-031,IRAS01183+4012,CGCG536-030,2MASXJ01210935+4028135                                                                                                                                                                                                                                            |      4901 |  34.69 |    NaN |    1.35258 |   40.47023 |     5836 |        9 |      NaN |      NaN |     5984 |   30.5 |   51.3 |     0.19 |     0.03 | Sc    |      |       |           |             |   4.9 |   2.3 |     0.87 |     0.06 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |  13.09 |   0.23 |  14.50 |    NaN |    NaN |    NaN |
  NGC0477                 | UGC00886,PGC004915,NGC0477,MCG+07-03-032,CGCG536-032,2MASXJ01212039+4029176                                                                                                                                                                                                                                          |      4915 |  34.71 |  34.82 |    1.35565 |   40.48821 |     5864 |        6 |     5858 |        4 |     6012 |  135.5 |   72.7 |     0.45 |     0.03 | Sc    | B    |       |           |             |   5.0 |   0.4 |     1.19 |     0.05 | 150.18 |   4.73 | 157.33 |   4.98 |  15.00 |   0.12 |    NaN |   0.23 |  13.17 |    NaN |    NaN |  12.06 |
  IC1683                  | UGC00916,PGC005008,MRK0987,MCG+06-04-008,LGG026:[G93]008,KUG0119+341,IRAS01197+3410,IC1683,CGCG521-010,2MASXJ01223886+3426132                                                                                                                                                                                        |      5008 |  34.32 |    NaN |    1.37746 |   34.43700 |     4882 |       10 |     4891 |        8 |     5003 |  173.0 |   69.0 |     0.36 |     0.06 | Sb    |      |       |           |             |   2.7 |   2.5 |     1.12 |     0.08 | 182.16 |  13.05 | 195.07 |  14.08 |  17.17 |   0.19 |  12.34 |   0.22 |  13.39 |    NaN |    NaN |    NaN |
  NGC0496                 | [MLO2002]J012311.6+333143,UGC00927,PGC005061,NGC0496,MCG+05-04-036,KUG0120+332A,IRAS01203+3316,CGCG502-060,2MASXJ01231161+3331452                                                                                                                                                                                    |      5061 |  34.75 |  33.63 |    1.38654 |   33.52854 |     6005 |        3 |     6004 |        5 |     6122 |   36.4 |   72.5 |     0.43 |     0.03 | Sbc   |      |       |           |             |   4.0 |   0.3 |     0.95 |     0.05 | 136.53 |   3.81 | 143.19 |   4.02 |  15.50 |   0.23 |  13.32 |   0.31 |  13.29 |    NaN |   0.41 |  12.40 |
  NGC0523                 | [MLO2002]J012520.8+340129,[BTW2003]J0125+3400,VV783,UGC00979,PGC005268,NGC0537,NGC0523,MCG+06-04-018,LGG026:[G93]006,IRAS01225+3345,IRAS01224+3345,CGCG521-022,ARP158,4ZW045,2MASXJ01252074+3401305                                                                                                                  |      5268 |  34.26 |  34.32 |    1.42244 |   34.02499 |     4761 |        7 |     4759 |        4 |     4879 |  103.7 |   79.7 |     0.55 |     0.07 | Sbc   |      |       | M         |             |   4.2 |   2.5 |     1.40 |     0.06 | 223.66 |   7.36 | 227.30 |   7.54 |  15.20 |   0.09 |  12.25 |   0.23 |  12.37 |   0.05 |   0.60 |    NaN |
  UGC00987                | UGC00987,PGC005284,MRK0993,MCG+05-04-058,LGG026:[G93]011,KUG0122+318,IRAS01227+3152,CGCG502-082,AGC000987,2MASXJ01253147+3208105                                                                                                                                                                                     |      5284 |  34.21 |  33.77 |    1.42541 |   32.13625 |     4656 |        3 |     4656 |        4 |     4766 |   31.2 |   90.0 |     0.55 |     0.03 | Sa    |      |       |           |             |   1.0 |   0.4 |     1.20 |     0.03 | 177.38 |   4.35 | 177.38 |    NaN |  15.47 |   0.16 |    NaN |   0.26 |  13.62 |   0.09 |   0.79 |  12.04 |
  NGC0551                 | UGC01034,PGC005450,NGC0551,MCG+06-04-027,LGG026:[G93]021,IRAS01247+3655,CGCG521-030,2MASXJ01274066+3710584                                                                                                                                                                                                           |      5450 |  34.44 |  34.04 |    1.46129 |   37.18289 |     5189 |       15 |     5191 |        4 |     5321 |  137.3 |   70.3 |     0.40 |     0.02 | SBbc  | B    |       |           |             |   4.0 |   0.2 |     1.17 |     0.04 | 169.99 |   4.77 | 180.53 |   5.10 |  15.93 |   0.09 |  13.48 |   0.25 |  12.77 |    NaN |    NaN |  12.03 |
  NGC0647                 | SDSSJ013956.19-091432.6,PGC006155,NPM1G-09.0072,NGC0647,MCG-02-05-033                                                                                                                                                                                                                                                |      6155 |  36.33 |    NaN |    1.66560 |   -9.24236 |    12619 |        3 |      NaN |      NaN |    12522 |   19.1 |   46.7 |     0.11 |     0.02 | S0    | B    | R     | M         |             |  -2.1 |   0.5 |     1.10 |     0.04 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.13 |  13.99 |    NaN |    NaN |  12.35 |
  IC0159                  | SDSSJ014625.05-083811.9,PGC006505,MCG-02-05-042,IRAS01439-0853,IC0159,6dFJ0146251-083813,2MASXJ01462508-0838126                                                                                                                                                                                                      |      6505 |  33.73 |    NaN |    1.77362 |   -8.63669 |     3917 |        1 |     3918 |        6 |     3820 |   27.6 |   59.3 |     0.26 |     0.02 | SBb   | B    |       | M         |             |   3.5 |   1.2 |     1.13 |     0.04 | 101.43 |   5.77 | 117.97 |   6.75 |  15.71 |   0.23 |  13.45 |   0.12 |  13.62 |    NaN |    NaN |  13.12 |
  NGC0675                 | UGC01273,SDSSJ014908.79+130332.4,SDSSJ014908.78+130332.4,SDSSJ014908.60+130335.3,PGC1421953,PGC006665,NGC0675,MCG+02-05-041,IRAS01464+1249,CGCG437-037,2MASXJ01490857+1303354                                                                                                                                        |      6665 |  34.42 |    NaN |    1.81907 |   13.05955 |     5268 |       39 |     5131 |        8 |     5278 |  101.2 |   73.9 |     0.38 |     0.03 | Sa    |      |       |           |             |   1.0 |   2.4 |     1.02 |     0.04 |  95.05 |   4.48 |  98.92 |   4.68 |    NaN |    NaN |  13.58 |   0.38 |  14.67 |    NaN |    NaN |  13.55 |
  UGC01271                | UGC01271,SDSSJ014900.06+131240.0,SDSSJ014900.06+131239.9,PGC006657,NPM1G+12.0055,MCG+02-05-040,CGCG437-036,2MASXJ01490002+1312405                                                                                                                                                                                    |      6657 |  34.34 |    NaN |    1.81668 |   13.21114 |     5039 |        2 |      NaN |      NaN |     5049 |   94.2 |   62.9 |     0.22 |     0.04 | S0    | B    |       |           |             |  -1.6 |   1.0 |     1.23 |     0.06 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.28 |  14.10 |    NaN |    NaN |  12.52 |
  UGC01368                | UGC01368,PGC007053,MCG+01-05-042,CGCG412-041,2MIG0209,2MFGC01436,2MASXJ01541313+0753012                                                                                                                                                                                                                              |      7053 |  35.32 |    NaN |    1.90365 |    7.88362 |     7973 |       42 |     7941 |        6 |     7955 |   51.5 |   75.3 |     0.42 |     0.07 | Sab   |      |       |           |             |   2.0 |   0.3 |     1.13 |     0.07 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.25 |  14.11 |    NaN |    NaN |    NaN |
  NGC0755                 | SDSSJ015622.66-090340.9,PGC007262,NGC0755,MCG-02-06-005,KUG0153-093,IRAS01539-0918,IRAS01538-0918,HIPASSJ0156-09,AGC410401,6dFJ0156227-090341,2MASXJ01562268-0903411                                                                                                                                                 |      7262 |  31.75 |  31.49 |    1.93963 |   -9.06135 |     1622 |       12 |     1639 |        3 |     1521 |   52.8 |   78.0 |     0.51 |     0.03 | SBbc  | B    |       |           |             |   3.6 |   1.2 |     1.46 |     0.02 | 100.41 |   1.58 | 102.65 |   1.62 |  13.99 |   0.10 |  12.67 |   0.10 |  12.24 |  -0.21 |   0.38 |  11.93 |
  NGC0776                 | UGC01471,PGC007560,NGC0776,MCG+04-05-028,LGG041:[G93]007,IRAS01570+2323,CGCG482-037,AGC001471,2MASXJ01595447+2338400                                                                                                                                                                                                 |      7560 |  34.30 |    NaN |    1.99846 |   23.64444 |     4915 |       10 |     4920 |        4 |     4975 |    NaN |   18.3 |     0.02 |     0.02 | SABa  | B    |       |           |             |   2.5 |   1.9 |     1.13 |     0.05 |  58.20 |   1.67 | 184.95 |   7.04 |  15.63 |   0.16 |  12.64 |   0.42 |  13.04 |    NaN |    NaN |  11.76 |
  NGC0781                 | UGC01482,SDSSJ020008.95+123921.9,PGC007577,NGC0781,MCG+02-06-010,KIG0081,EONJ030.037+12.656,EGISJ020009.0+123922,CGCG438-011,2MIG0226,2MFGC01527,2MASXJ02000899+1239217                                                                                                                                              |      7577 |  33.52 |    NaN |    2.00250 |   12.65614 |     3483 |       50 |      NaN |      NaN |     3488 |   12.2 |   90.0 |     0.56 |     0.04 | Sa    |      |       |           |             |   1.2 |   1.7 |     1.17 |     0.06 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.28 |  13.13 |    NaN |    NaN |  12.39 |
  IC0208                  | UGC01635,PGC008167,MCG+01-06-044,LGG047:[G93]002,KPG056A,IC0208,CGCG413-045,AGC001635,2MASXJ02082773+0623415                                                                                                                                                                                                         |      8167 |  33.52 |    NaN |    2.14104 |    6.39486 |     3516 |        6 |     3517 |        7 |     3488 |  167.8 |   32.6 |     0.07 |     0.03 | Sbc   |      | R     |           | D           |   3.6 |   0.7 |     1.12 |     0.05 |  54.38 |   2.69 | 100.88 |   5.31 |  16.02 |   0.42 |    NaN |   0.23 |  14.33 |    NaN |    NaN |  12.22 |
  NGC0825                 | UGC01636,PGC008173,NGC0825,MCG+01-06-045,LGG047:[G93]003,KPG056B,CGCG413-046,AGC001636,2MASXJ02083236+0619255                                                                                                                                                                                                        |      8173 |  33.46 |  34.72 |    2.14232 |    6.32375 |     3396 |        3 |     3396 |        4 |     3367 |   51.8 |   90.0 |     0.49 |     0.06 | Sa    |      |       |           |             |   1.1 |   0.6 |     1.31 |     0.06 | 216.58 |   6.99 | 216.58 |    NaN |  15.49 |   0.21 |    NaN |   0.24 |  13.71 |    NaN |    NaN |  11.84 |
  UGC01659                | UGC01659,PGC008266,MCG+03-06-039,CGCG461-054,AGC001659,2MASXJ02095686+1601579                                                                                                                                                                                                                                        |      8266 |  35.40 |    NaN |    2.16579 |   16.03275 |     8239 |        3 |     8240 |        5 |     8259 |   35.9 |   69.4 |     0.41 |     0.03 | SBc   | B    |       |           |             |   6.0 |   0.9 |     1.15 |     0.04 | 195.04 |   7.70 | 208.41 |   8.28 |  16.62 |   0.15 |    NaN |   0.30 |  13.86 |    NaN |    NaN |  12.72 |
