#
#                  objname | hl_names(pgc)                                                                                                                                                                                           |       pgc |   modz |   mod0 |     al2000 |     de2000 |        v |      e_v |     vrad |   e_vrad |     vvir |     pa |   incl |   logr25 | e_logr25 |  type |  bar |  ring |  multiple | compactness |     t |   e_t |   logd25 | e_logd25 |  vmaxg | e_vmaxg|   vrot | e_vrot |    m21 |  e_m21 |   mfir |     ag |    btc |   ubtc |   bvtc |    itc |
#
  NGC1266                 | PGC012131,NGC1266,MCG-01-09-023,IRAS03134-0236,6dFJ0316007-022538,2MASXJ03160074-0225385                                                                                                                                                                             |     12131 |  32.43 |    NaN |    3.26688 |   -2.42735 |     2195 |       15 |      NaN |      NaN |     2107 |  102.9 |   58.2 |     0.17 |     0.02 | S0    | B    |       |           |             |  -2.3 |   1.0 |     1.17 |     0.04 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |  10.60 |   0.43 |  13.87 |    NaN |    NaN |  11.45 |
  NGC1289                 | UGC02666,PGC012342,NGC1289,MCG+00-09-054,IC0314,CGCG390-055,2MASXJ03184982-0158240                                                                                                                                                                                   |     12342 |  33.01 |    NaN |    3.31384 |   -1.97333 |     2835 |       60 |      NaN |      NaN |     2749 |   97.0 |   69.6 |     0.24 |     0.03 | S0    | B    |       |           |             |  -2.1 |   0.6 |     1.24 |     0.04 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.37 |  13.09 |   0.42 |   0.79 |  12.16 |
  NGC2698                 | PGC025067,NGC2698,MCG+00-23-012,CGCG005-030,6dFJ0855365-031102,2MASXJ08553653-0311019                                                                                                                                                                                |     25067 |  32.12 |    NaN |    8.92681 |   -3.18388 |     1869 |       39 |      NaN |      NaN |     1806 |   95.5 |   90.0 |     0.44 |     0.09 | S0-a  |      |       |           |             |  -1.1 |   1.3 |     1.17 |     0.12 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.08 |  13.16 |    NaN |    NaN |    NaN |
  NGC2699                 | PGC025075,NGC2699,MCG+00-23-014,LGG164:[G93]002,CGCG005-033,ARK187,6dFJ0855488-030739,2MASXJ08554881-0307390                                                                                                                                                         |     25075 |  32.07 |  32.13 |    8.93022 |   -3.12747 |     1824 |       36 |      NaN |      NaN |     1760 |   39.6 |   90.0 |     0.27 |     0.03 | E     |      |       |           |             |  -5.0 |   0.5 |     1.15 |     0.04 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.08 |  13.57 |    NaN |    NaN |    NaN |
  IC0560                  | [FN2007]0038,UGC05223,PGC027998,MCG+00-25-013,IC0560,CGCG007-030,6dFJ0945534-001606,2MASXJ09455343-0016055                                                                                                                                                           |     27998 |  32.12 |    NaN |    9.76484 |   -0.26831 |     1847 |       29 |      NaN |      NaN |     1814 |   19.6 |   90.0 |     0.42 |     0.03 | S0-a  |      |       |           |             |  -0.8 |   1.0 |     1.15 |     0.04 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.59 |  13.79 |    NaN |    NaN |  11.35 |
  NGC3230                 | UGC05624,PGC030463,NGC3230,MCG+02-27-007,CGCG065-020,2MASXJ10234394+1234043                                                                                                                                                                                          |     30463 |  33.33 |    NaN |   10.39552 |   12.56793 |     3135 |        7 |      NaN |      NaN |     3180 |  113.5 |   90.0 |     0.50 |     0.03 | S0    | B    |       |           |             |  -1.7 |   0.8 |     1.30 |     0.03 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.16 |  14.33 |    NaN |    NaN |    NaN |
  NGC3499                 | UGC06115,SDSSJ110311.02+561318.4,SDSSJ110311.02+561318.2,SDSSJ110311.01+561318.6,SDSSJ110311.01+561318.3,PGC033375,NGC3499,MCG+09-18-080,CGCG291-024,CGCG267-037,2MIG1534,2MASXJ11031110+5613179                                                                     |     33375 |  32.07 |    NaN |   11.05307 |   56.22176 |     1520 |        2 |      NaN |      NaN |     1753 |   19.6 |   33.2 |     0.06 |     0.05 | S0-a  |      |       |           |             |  -0.4 |   1.3 |     0.92 |     0.11 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.04 |  14.10 |    NaN |    NaN |  12.58 |
  NGC4612                 | VCC1883,UGC07850,PGC042574,NGC4612,MCG+01-32-134,LGG296:[G93]007,EVCC2205,CGCG042-205,2MASXJ12413275+0718532                                                                                                                                                         |     42574 |  32.25 |  31.07 |   12.69243 |    7.31488 |     1876 |       10 |      NaN |      NaN |     1946 |  138.1 |   55.4 |     0.16 |     0.03 | S0    | B    | R     |           |             |  -2.0 |   0.4 |     1.41 |     0.03 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.11 |  11.96 |    NaN |    NaN |  10.62 |
  NGC5198                 | UGC08499,PGC047441,NGC5198,MCG+08-25-015,LGG352:[G93]003,CGCG246-010,2MASXJ13301141+4640149,1ZW059                                                                                                                                                                   |     47441 |  32.97 |    NaN |   13.50317 |   46.67081 |     2468 |       55 |      NaN |      NaN |     2708 |   15.0 |   48.9 |     0.08 |     0.06 | E     |      |       |           |             |  -4.8 |   0.4 |     1.31 |     0.07 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.10 |  12.56 |    NaN |   0.88 |    NaN |
  NGC5493                 | UGCA386,PGC1050090,PGC050670,NGC5493,MCG-01-36-013,LGG374:[G93]004,2MASXJ14112938-0502371                                                                                                                                                                            |     50670 |  33.01 |    NaN |   14.19149 |   -5.04358 |     2696 |       27 |      NaN |      NaN |     2732 |    NaN |   31.9 |     0.05 |     0.03 | S0    |      |       |           |             |  -2.1 |   0.6 |     1.34 |     0.03 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.15 |  12.09 |   0.31 |   0.81 |  10.16 |
  PGC058114               | PGC058114,IRAS16235+0301,CGCG052-015,AGC260508,2MIG2249,2MASXJ16260428+0254235                                                                                                                                                                                       |     58114 |  31.92 |    NaN |   16.43452 |    2.90653 |     1536 |        4 |     1536 |        6 |     1636 |  100.0 |    NaN |      NaN |      NaN | S0    |      |       |           |             |  -2.3 |   2.0 |      NaN |      NaN |  67.94 |   4.64 |    NaN |    NaN |  17.27 |   0.30 |    NaN |   0.29 |  14.89 |    NaN |    NaN |    NaN |
  NGC6547                 | UGC11110,PGC061378,NGC6547,MCG+04-43-001,CGCG142-001,CGCG141-048,2MASXJ18051001+2513575                                                                                                                                                                              |     61378 |  33.13 |    NaN |   18.08611 |   25.23267 |     2708 |        9 |      NaN |      NaN |     2905 |  134.0 |   90.0 |     0.45 |     0.03 | S0-a  |      |       |           |             |  -1.2 |   1.3 |     1.21 |     0.04 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.50 |  13.68 |    NaN |    NaN |    NaN |
  NGC6548                 | UGC11115,PGC061404,NGC6550,NGC6548,MCG+03-46-013,KPG529B,CGCG113-020,2MASXJ18055923+1835139                                                                                                                                                                          |     61404 |  32.70 |  31.79 |   18.09979 |   18.58719 |     2193 |       23 |      NaN |      NaN |     2363 |  155.0 |   30.5 |     0.05 |     0.04 | S0    | B    |       |           |             |  -1.9 |   0.8 |     1.42 |     0.05 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.35 |  12.36 |   0.42 |   0.92 |    NaN |
  PGC061468               | PGC061468,CGCG113-024,2MASXJ18092657+1907036                                                                                                                                                                                                                         |     61468 |  32.84 |    NaN |   18.15739 |   19.11766 |     2348 |       19 |      NaN |      NaN |     2520 |  110.0 |    NaN |      NaN |      NaN | S?    |      |       |           |             |   4.0 |   5.0 |      NaN |      NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.35 |  14.53 |    NaN |    NaN |    NaN |
  NGC6798                 | UGC11434,PGC063171,NGC6798,MCG+09-32-002,CGCG281-001,2MIG2649,2MASXJ19240319+5337291                                                                                                                                                                                 |     63171 |  32.94 |    NaN |   19.40089 |   53.62475 |     2390 |       27 |      NaN |      NaN |     2661 |  147.0 |   90.0 |     0.34 |     0.03 | S0    |      |       |           |             |  -1.9 |   0.6 |     1.25 |     0.04 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.57 |  13.75 |    NaN |    NaN |    NaN |
  NGC7465                 | UGC12317,PGC070295,NGC7465,MRK0313,MCG+03-58-024,LGG469:[G93]003,KUG2259+156,IRAS22595+1541,CGCG453-050,AGC012317,2MASXJ23020095+1557535                                                                                                                             |     70295 |  32.38 |    NaN |   23.03360 |   15.96486 |     1949 |        6 |     1947 |        5 |     2030 |  161.5 |   64.2 |     0.22 |     0.03 | S0    | B    |       |           |             |  -1.8 |   0.5 |     1.03 |     0.04 |  62.68 |   3.19 |  69.64 |   3.58 |  14.53 |   0.16 |  11.90 |   0.33 |  13.00 |  -0.03 |   0.63 |  11.33 |
  PGC071531               | PGC071531,CGCG454-071,2MASXJ23282912+1951502                                                                                                                                                                                                                         |     71531 |  32.51 |    NaN |   23.47476 |   19.86394 |     2066 |        5 |     2066 |       10 |     2156 |    NaN |    0.0 |     0.00 |     0.08 | E     |      |       |           |             |  -4.5 |   1.5 |     0.79 |     0.19 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.53 |  14.31 |    NaN |    NaN |    NaN |
  NGC7693                 | PGC071720,NPM1G-01.0596,NGC7693,MCG+00-60-003,CGCG381-006,6dFJ2333105-011731,2MASXJ23331048-0117312                                                                                                                                                                  |     71720 |  32.84 |    NaN |   23.55291 |   -1.29202 |     2534 |       43 |      NaN |      NaN |     2519 |  170.7 |   60.2 |     0.21 |     0.03 | S0-a  | B    | R     |           |             |  -1.0 |   0.5 |     0.92 |     0.07 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.15 |  14.50 |    NaN |    NaN |    NaN |
  NGC7710                 | PGC071844,NGC7710,MCG-01-60-010,EONJ353.942-02.881,EGISJ233546.2-025251,6dFJ2335461-025251,2MASXJ23354614-0252513                                                                                                                                                    |     71844 |  32.87 |    NaN |   23.59616 |   -2.88088 |     2607 |       42 |      NaN |      NaN |     2583 |  134.3 |   90.0 |     0.36 |     0.03 | S0    |      |       |           |             |  -1.6 |   1.3 |     1.07 |     0.04 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.15 |  14.56 |    NaN |    NaN |  12.93 |
  PGC170172               | PGC170172,6dFJ1146556-051116,2MASXJ11465561-0511158                                                                                                                                                                                                                  |    170172 |  32.84 |    NaN |   11.78211 |   -5.18775 |     2529 |       28 |      NaN |      NaN |     2518 |   45.0 |    NaN |      NaN |      NaN | E     |      |       |           |             |  -5.0 |   1.4 |      NaN |      NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.08 |  14.64 |    NaN |    NaN |    NaN |
  NGC5831                 | [FN2007]2004,UGC09678,SDSSJ150407.00+011311.7,SDSSJ150407.00+011311.6,SDSSJ150406.99+011311.7,SDSSJ150406.99+011311.6,PGC053770,NGC5846:[ZM98]0004,NGC5846:[MTT2005]122,NGC5831,MCG+00-38-020,LGG393:[G93]002,CGCG020-054,2MASXJ15040702+0113117                     |     53770 |  32.02 |  32.15 |   15.06860 |    1.21995 |     1631 |        1 |      NaN |      NaN |     1711 |  130.2 |   38.6 |     0.05 |     0.02 | E     |      |       |           |             |  -4.8 |   0.5 |     1.35 |     0.03 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.25 |  12.16 |   0.53 |   0.90 |  10.97 |
  NGC5839                 | UGC09693,SDSSJ150527.48+013805.3,PGC053865,NGC5846:[ZM98]0005,NGC5846:[MTT2005]160,NGC5846:[CMI2006]F01-4001,NGC5839,MCG+00-38-023,LGG392:[G93]005,CGCG020-058,2MASXJ15052747+0138046                                                                                |     53865 |  31.45 |  31.75 |   15.09096 |    1.63475 |     1229 |       16 |      NaN |      NaN |     1312 |  103.1 |   29.9 |     0.05 |     0.02 | S0    | B    |       |           |             |  -2.0 |   0.5 |     1.16 |     0.04 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.23 |  13.45 |    NaN |    NaN |  11.15 |
  NGC4803                 | SDSSJ125533.67+081425.4,PGC044061,NGC4803,MCG+02-33-036,CGCG071-073,CGCG043-069,2MASXJ12553366+0814259                                                                                                                                                               |     44061 |  33.10 |    NaN |   12.92602 |    8.24047 |     2775 |       53 |      NaN |      NaN |     2854 |   15.0 |   90.0 |     0.25 |     0.08 | E-S0  |      |       |           |             |  -3.5 |   2.1 |     0.88 |     0.24 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.13 |  14.78 |    NaN |    NaN |    NaN |
  NGC2852                 | UGC04986,SDSSJ092314.58+400949.7,PGC026571,NPM1G+40.0185,NGC2852,MCG+07-19-065,KPG199A,CGCG209-059,2MASXJ09231456+4009499                                                                                                                                            |     26571 |  32.25 |    NaN |    9.38738 |   40.16384 |     1782 |        6 |     1781 |        6 |     1935 |    NaN |   19.7 |     0.02 |     0.04 | SABa  | B    | R     |           | C           |   0.8 |   1.2 |     0.97 |     0.09 |  93.14 |   6.38 | 276.81 |  23.30 |  15.61 |   0.27 |    NaN |   0.06 |  14.03 |    NaN |    NaN |    NaN |
  IC3631                  | [RG2008]J189.95004+12.97396,VCC1809,UGC07825,SDSSJ123948.01+125826.2,SDSSJ123948.00+125826.2,PGC042389,NPM1G+13.0314,MCG+02-32-169,IC3631,EVCC1006,CGCG070-204,2MASXJ12394804+1258261                                                                                |     42389 |  33.13 |    NaN |   12.66334 |   12.97394 |     2801 |       13 |     2797 |       12 |     2896 |   91.0 |   54.1 |     0.17 |     0.03 | S0-a  |      |       |           |             |  -1.2 |   1.7 |     1.02 |     0.04 |  41.38 |   4.94 |  51.07 |   6.14 |  18.68 |   0.20 |    NaN |   0.17 |  14.01 |    NaN |    NaN |  13.08 |
  NGC1121                 | UGC02332,PGC010789,NGC1121,MCG+00-08-030,CGCG389-032,ARK093,6dFJ0250392-014403,2MASXJ02503921-0144025                                                                                                                                                                |     10789 |  32.80 |    NaN |    2.84422 |   -1.73404 |     2590 |       34 |      NaN |      NaN |     2510 |   10.4 |   90.0 |     0.45 |     0.05 | S0    |      |       |           |             |  -1.6 |   1.2 |     0.98 |     0.08 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.29 |  13.32 |    NaN |    NaN |  11.86 |
  NGC2824                 | UGC04933,SDSSJ091902.22+261611.9,PGC026330,NGC2824,MRK0394,MCG+04-22-031,IRAS09160+2628,CGCG121-057,2MASXJ09190222+2616119                                                                                                                                           |     26330 |  33.10 |    NaN |    9.31728 |   26.27002 |     2759 |       60 |      NaN |      NaN |     2848 |  158.7 |   65.8 |     0.23 |     0.05 | S0    | B    | R     |           |             |  -1.9 |   0.7 |     0.98 |     0.06 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |  13.06 |   0.14 |  14.05 |   0.37 |   0.82 |  12.67 |
  NGC4521                 | UGC07706,SDSSJ123247.65+635621.2,SDSSJ123247.64+635621.1,SDSSJ123247.63+635621.1,SDSSJ123247.62+635621.4,PGC041621,NGC4521,MCG+11-15-061,LGG295:[G93]003,KPG345B,CGCG315-046,2MFGC09882,2MASXJ12324772+6356214                                                       |     41621 |  33.04 |    NaN |   12.54657 |   63.93921 |     2529 |       54 |     2969 |        7 |     2797 |  166.2 |   90.0 |     0.71 |     0.06 | S0-a  | B    |       |           |             |  -0.2 |   0.7 |     1.41 |     0.06 |  69.52 |   4.92 |  69.52 |    NaN |  15.41 |   0.39 |    NaN |   0.08 |  12.79 |    NaN |    NaN |  11.65 |
  PGC042549               | PGC042549,2MASXJ12411596-0500330                                                                                                                                                                                                                                     |     42549 |  33.16 |    NaN |   12.68777 |   -5.00917 |     2914 |       22 |      NaN |      NaN |     2923 |   63.5 |   90.0 |     0.33 |     0.03 | S0    | B    |       |           |             |  -2.3 |   2.4 |     1.01 |     0.05 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.11 |  14.54 |    NaN |    NaN |  12.24 |
  NGC4608                 | VCC1869,UGC07842,SDSSJ124113.28+100920.3,PGC042545,NGC4608,MCG+02-32-177,EVCC2201,CGCG070-214,2MASXJ12411328+1009208                                                                                                                                                 |     42545 |  32.25 |  31.53 |   12.68702 |   10.15571 |     1841 |       18 |      NaN |      NaN |     1924 |    NaN |   34.6 |     0.06 |     0.03 | S0    | B    | R     |           |             |  -1.7 |   0.8 |     1.46 |     0.03 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.07 |  11.81 |    NaN |   0.93 |  10.31 |
  NGC3599                 | UGC06281,SDSSJ111526.94+180637.4,PGC034326,NGC3599,MCG+03-29-015,CGCG096-015,2MASXJ11152695+1806373                                                                                                                                                                  |     34326 |  30.69 |  31.52 |   11.25749 |   18.11035 |      837 |       20 |      NaN |      NaN |      927 |    NaN |   28.3 |     0.04 |     0.03 | S0    |      |       |           |             |  -2.0 |   0.5 |     1.38 |     0.03 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.09 |  12.78 |   0.30 |   0.84 |    NaN |
  NGC1665                 | PGC016044,NPM1G-05.0218,NGC1665,MCG-01-13-009,6dFJ0448171-052539,2MASXJ04481706-0525395                                                                                                                                                                              |     16044 |  32.94 |    NaN |    4.80474 |   -5.42762 |     2752 |       23 |      NaN |      NaN |     2639 |   55.8 |   65.0 |     0.23 |     0.03 | S0    | B    |       |           |             |  -1.8 |   0.8 |     1.25 |     0.04 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.27 |  13.56 |    NaN |    NaN |  11.23 |
  PGC016060               | PGC016060,MCG-01-13-011,IRAS04460-0357,HIPASSJ0448-03,6dFJ0448344-035202,2MFGC03939,2MASXJ04483441-0352015                                                                                                                                                           |     16060 |  32.94 |    NaN |    4.80956 |   -3.86719 |     2769 |        4 |     2768 |        6 |     2663 |  164.6 |   76.4 |     0.35 |     0.03 | S0-a  |      |       |           |             |  -0.4 |   1.3 |     1.09 |     0.05 | 135.35 |   8.57 | 139.26 |   8.86 |  15.76 |   0.23 |    NaN |   0.20 |  14.51 |    NaN |    NaN |  12.28 |
  NGC2594                 | PGC023704,NGC2594,MCG+04-20-056,CGCG119-106,AGC180283,2MASXJ08271718+2552441                                                                                                                                                                                         |     23704 |  32.77 |    NaN |    8.45477 |   25.87892 |     2376 |        7 |     2381 |        5 |     2449 |   20.0 |   65.3 |     0.21 |     0.08 | S0    | B    |       |           |             |  -2.5 |   1.5 |     0.96 |     0.21 |  86.56 |   4.31 |  95.29 |   4.93 |  15.91 |   0.24 |    NaN |   0.24 |  14.65 |    NaN |    NaN |    NaN |
  NGC2859                 | UGC05001,SDSSJ092418.53+343048.5,PGC026649,NGC2859,MCG+06-21-030,CGCG181-040,AGC005001,2MASXJ09241854+3430481                                                                                                                                                        |     26649 |  32.12 |    NaN |    9.40515 |   34.51343 |     1689 |        8 |     1690 |        6 |     1818 |   85.0 |   32.9 |     0.06 |     0.05 | S0-a  | B    | R     |           |             |  -1.2 |   0.6 |     1.50 |     0.04 | 133.56 |   6.38 | 245.69 |  13.19 |  17.23 |   0.31 |    NaN |   0.09 |  11.75 |   0.45 |   0.89 |    NaN |
  NGC3032                 | [WTK2001]J095208.21+291412.4,UGC05292,SDSSJ095208.15+291410.3,PGC028424,NPM1G+29.0177,NGC3032,MCG+05-23-046,KUG0949+294,IRAS09492+2928,CGCG152-077,AGC005292,2MASXJ09520818+2914106                                                                                  |     28424 |  31.92 |  31.50 |    9.86894 |   29.23642 |     1541 |        6 |     1547 |        4 |     1654 |    NaN |   26.4 |     0.04 |     0.03 | S0    | B    | R     |           |             |  -1.9 |   0.4 |     1.15 |     0.04 |  68.43 |   1.91 | 154.02 |   5.23 |  17.17 |   0.11 |  12.39 |   0.07 |  12.97 |   0.09 |   0.64 |    NaN |
  PGC028887               | SDSSJ095943.49+113938.7,SDSSJ095943.49+113938.6,PGC028887,NPM1G+11.0225,MCG+02-26-013,CGCG064-021,2MASXJ09594350+1139389                                                                                                                                             |     28887 |  33.10 |    NaN |    9.99542 |   11.66076 |     2816 |        2 |      NaN |      NaN |     2848 |   33.2 |   66.8 |     0.17 |     0.03 | E     |      |       |           |             |  -4.0 |   1.8 |     1.02 |     0.05 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.17 |  14.61 |    NaN |    NaN |  13.26 |
  UGC05408                | [RC2]A1000+59,UGC05408,SDSSJ100351.89+592610.4,SDSSJ100351.88+592610.4,SDSSJ100351.88+592610.3,SDSSJ100351.86+592610.6,SBS1000+596,PGC029177,MRK0025,MCG+10-15-004,KUG1000+596,KIG0393,IRAS10003+5940,CGCG290-002,CGCG289-028,7ZW308,2MASXJ10035186+5926100          |     29177 |  33.33 |    NaN |   10.06441 |   59.43618 |     2972 |       68 |     2602 |        6 |     3203 |    NaN |   14.1 |     0.01 |     0.04 | E-S0  |      |       |           | C           |  -2.5 |   2.2 |     0.76 |     0.11 |  64.61 |   5.75 | 265.59 |  32.70 |  15.75 |   0.27 |  13.03 |   0.06 |  14.64 |  -0.26 |   0.53 |  13.58 |
  IC0598                  | UGC05502,SDSSJ101248.57+430843.9,SDSSJ101248.56+430843.9,PGC029745,MCG+07-21-016,KUG1009+433,IC0598,CGCG211-017,2MASXJ10124858+4308439                                                                                                                               |     29745 |  32.73 |    NaN |   10.21349 |   43.14553 |     2245 |        1 |      NaN |      NaN |     2423 |    7.2 |   90.0 |     0.60 |     0.06 | S0-a  |      |       |           |             |  -0.1 |   0.9 |     1.22 |     0.06 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.06 |  13.49 |    NaN |    NaN |  12.47 |
