\ ------------------------------------------------------------------------------------------------------------------
\
\ S4G pipeline 5 stellar masses.
\ 
\ M.Querejeta & S.Meidt, MPIA, Heidelberg, September 2014 (contact: querejeta@mpia.de)
\
\ ------------------------------------------------------------------------------------------------------------------
\ COLUMN DESCRIPTION:
\ 
\ Column #1: Galaxy name
\  
\ Column #2: Stellar mass (ICA-corrected 3.6um image integrated within the 25.5mag/arcsec^2 isophote; M/L=0.6 Msun/Lsun)
\  
\ Column #3: Flux of ICA-corrected 3.6um image integrated within the 25.5mag/arcsec^2 isophote
\  
\ Column #4: (Weighted) average signal-to-noise ratio of the original 3.6um image (see paper for details)
\  
\ Column #5: Distance (Muñoz-Mateos et al. 2015)
\  
\ Column #6: Hubble type (Buta et al. 2015)
\  
\ -----------------------------------------------------------------------------------
|       #1|             #2|             #3|             #4|             #5|      #6|
|   Galaxy|   Stellar mass|        s2 flux|            S/N|       Distance|Hubble T|
    IC2056     10580276224     2392.204102       49.239857       20.500000        4
    IC2627     11889729536      826.627075       21.756161       18.480000        4
    IC2969      3541762048      338.569366       20.979538       27.500000        7
    IC3115      1967422592      182.037430        8.306128       19.330000        6
    IC3268      2164316416      220.692749       16.424271       21.799999       10
    IC3391      5916206080      380.672058       12.907552       30.230000        5
    IC4214     45112754176     3598.616699       34.085205       27.299999        0
    IC4221     11342008320      711.123535       30.273865       37.500000        8
    IC4237     31902593024     1215.411011       27.098576       40.070000        3
    IC4901     16238540800     1773.763916       20.366442       23.680000        5
    IC5069      4609258496      144.249298       12.241491       37.619999        3
    IC5240     29146267648      798.201416       29.375608       25.360001        0
    IC5270     10963331072     1394.462158       30.622862       22.650000        7
    IC5273     10182926336     2229.629150       27.474751       16.559999        5
    IC5321      7021026816      136.836548        8.366130       41.869999        5
    IC5325     16990318592     2927.043701       36.263241       18.100000        4
   NGC0063      7016085504     1799.511963       59.034454       18.799999        0
   NGC0150     22571218944     3606.453613       39.720760       21.040001        2
   NGC0157     41484484608     8374.853516       51.169449       19.500000        4
   NGC0210     22383874048     3291.662598       25.267723       20.980000        2
   NGC0255      6093388800      583.390503       15.273054       20.000000        6
   NGC0289     39217192960     4263.326660       35.987789       22.770000        2
   NGC0406      5265830400      734.616699       14.832749       20.610001        8
   NGC0470     60614287360      276.777283       34.527897       38.869999        2
   NGC0488    173017300992     4845.480469       30.158775       29.299999        1
   NGC0514     21394862080     1521.774170       14.318445       29.420000        5
   NGC0578     19012501504     2792.708984       23.607576       21.840000        6
   NGC0613    111482707968    14680.802734       41.152622       25.129999        3
   NGC0628     21234034688    21827.921875       18.897465        9.080000        5
   NGC0658     23246868480      941.577271       21.522896       38.830002        4
   NGC0681     48481579008     1383.050659       23.624107       33.599998        3
   NGC0685      6955930624     1293.616577       12.673968       15.200000        6
   NGC0691     46666186752     2293.807129       52.922180       36.919998        2
   NGC0693      8560645120     2572.696777       35.791012       20.750000       20
   NGC0701     14064724992     2041.024292       40.272999       22.709999        7
   NGC0718     16341123072     2229.858887       26.419615       21.400000        1
   NGC0723      3751921664      580.579102       28.152925       19.820000        4
   NGC0772    136158273536     8659.420898       21.797033       30.309999        2
   NGC0864     13953474560     3072.846680       25.177559       18.770000        4
   NGC0895     19693268992     2250.912598       30.043802       29.639999        5
   NGC0908     53594480640     5705.785645       78.664673       17.620001        3
   NGC0918     11020716032     2480.979980       22.425398       18.129999        5
   NGC0986     28191334400     5512.874023       47.030849       17.150000        2
   NGC0991      4322253824      946.127563       12.471455       18.799999        5
   NGC1022     15701190656     3940.343750       27.760527       18.500000        0
   NGC1036       986337536      257.963501       14.588201       11.200000       10
   NGC1042      3854016512     2546.023438       14.667120        9.430000        5
   NGC1055     53399085056    12981.738281       30.576914       16.629999        3
   NGC1068     87466655744   110660.210938       57.735687       13.500000        1
   NGC1073      8980056064     1747.358398       11.419188       15.200000        5
   NGC1076      9991892992      757.978027       25.121675       28.040001        3
   NGC1079     39319699456     1277.460327       23.045835       26.049999       -1
   NGC1084     42804514816     7338.389648       48.280304       21.230000        5
   NGC1087     16735891456     3899.411621       31.312420       17.510000        7
   NGC1097    193517092864    11964.333984       30.435884       20.040001        2
   NGC1179      6442507264      766.540588        8.478673       18.170000        6
   NGC1187     24647086080     5703.743164       21.940523       18.830000        4
   NGC1232     46315102208    10336.632812       19.797562       18.670000        5
   NGC1255     18694529024     2814.018066       20.891607       21.510000        6
   NGC1258      3243680256      337.348938       15.859906       25.760000        1
   NGC1291     49481138176    30680.001953       25.054070        8.600000       -1
   NGC1299      9246584832      889.901855       43.529652       31.110001        4
   NGC1300     37452222464     4375.214355       16.502144       18.049999        3
   NGC1302     37111767040     3691.160400       24.485552       20.000000       -1
   NGC1306      6677443584      595.117676       41.233742       30.549999        8
   NGC1309     22873038848     2334.985107       26.940165       28.030001        4
   NGC1310      6420371456      823.492310       16.632229       21.959999        6
   NGC1338     15311694848      241.578537       32.327763       33.009998        5
   NGC1341      4591905280      983.484436       27.178446       16.900000        7
   NGC1345      1474857600      282.060791       14.152787       18.100000        9
   NGC1347      2186826240      300.277069       14.222195       23.450001        7
   NGC1350     63040663552     5828.832031       33.208714       20.940001        0
   NGC1357     36732534784     2957.875488       19.632185       24.700001        0
   NGC1365    130527420416    25671.111328       12.566889       17.930000        4
   NGC1367     52362280960     3990.371826       23.280769       23.250000        0
   NGC1385     13497856000     4060.251221       30.471882       14.950000        8
   NGC1398    133079203840    10006.792969       29.133337       21.030001        1
   NGC1433     20993024000     4643.941406       30.381075        9.960000        1
   NGC1436     11045166080     2048.991455       19.548483       18.360001        2
   NGC1438     15145768960      702.999756       31.889631       28.860001        0
   NGC1483      3211119360      493.247070       19.480419       20.719999        7
   NGC1493      4022730240     2139.958008       15.304807       11.300000        5
   NGC1512     20780666880     3970.703857       19.357656       12.290000        1
   NGC1559     24089370624     6458.368164      138.655212       15.680000        6
   NGC1566     31324049408    17351.814453       24.595034       12.230000        3
   NGC1637      8639044608     4311.146973       63.157341       10.700000        3
   NGC1640     14931537920     1067.905518       23.437859       19.100000        1
   NGC1672     44759023616     9964.204102       42.589439       14.500000        3
   NGC1703      8587006976     2128.125000       28.047976       17.400000        5
   NGC1792     37044609024    12299.595703       68.660744       13.200000        5
   NGC2460     44876816384     2504.862549       23.609936       31.900000        1
   NGC2541      2614614016      877.699097        9.409091       12.350000        7
   NGC2543     26088882176      249.538101       14.680901       33.639999        3
   NGC2551     22638800896      929.310303       33.924191       34.099998        0
   NGC2608     16132667392     1184.254395       13.038513       26.510000        3
   NGC2633     24855531520     3817.946045       33.332973       29.389999        3
   NGC2655    109388185600    10383.470703       10.666698       24.400000        0
   NGC2681     29259378688     1374.653442       19.546320       15.250000        0
   NGC2684     13622668288      358.332916       35.072430       38.130001        3
   NGC2701     28348088320      800.162598       29.825401       40.830002        4
   NGC2710     19924600832      417.086548       18.056065       50.400002        4
   NGC2712     22368729088     2099.422363       16.938295       31.170000        2
   NGC2731     10571820032      559.760254       26.368668       41.000000        8
   NGC2742     20980334592     3100.431885       57.422871       23.799999        5
   NGC2775     52214722560    13976.008789       13.264934       17.000000       -1
   NGC2780     18924435456      337.068756       31.607031       55.549999        1
   NGC2782     20121325568     2734.590820       22.040249       23.379999        1
   NGC2841     79655174144    38733.562500       49.090305       16.780001        1
   NGC2844     16577243136     1058.835693       20.129429       37.880001       -1
   NGC2882     19086108672      665.983032       39.269299       37.930000        3
   NGC2893      5816158208      965.481567       18.575359       26.799999       -1
   NGC2894     56461967360      228.748199       32.906059       42.299999       -3
   NGC2906     39762460672     1342.464600       64.155159       38.400002        3
   NGC2938      5323594752      169.066513       11.346815       46.000000        8
   NGC2964     27385503744     3419.806396       37.080421       21.190001        3
   NGC2967     35842367488     2327.317383       30.234133       30.900000        5
   NGC2976      1825965056     6329.581543       29.066334        3.610000        7
   NGC2978     64579043328      547.623413       35.655403       85.379997        4
   NGC2985     62096703488     7814.592773       19.863997       21.500000        1
   NGC3021     17936130048     1984.262451       68.402794       27.290001        4
   NGC3023      7793811456      511.382080       16.491699       31.459999        8
   NGC3031     39100862464   351120.875000       61.673317        3.690000        1
   NGC3041     23795232768     2278.657227       24.484577       26.350000        3
   NGC3049     13795420160      471.103027       18.580568       30.780001        2
   NGC3055     22113200128     1097.970581       20.332535       31.610001        5
   NGC3061     20915871744      352.148376       14.672898       55.099998        3
   NGC3066     11221373952     1022.054443       40.236252       32.400002        2
   NGC3094     30034178048     6373.153320      122.099144       39.220001        1
   NGC3147    183121231872    14082.987305       29.572718       41.500000        3
   NGC3153     12001548288      208.633224       19.336330       39.599998        6
   NGC3155     14186473472      234.960815       20.832788       51.400002        3
   NGC3162     19235100672      928.123291       12.765497       26.660000        4
   NGC3166     73552510976     6822.321289       37.224289       22.000000       -1
   NGC3169     57513115648    10482.192383       17.722113       19.110001        1
   NGC3177     11570470912     3266.826172       67.299019       24.459999        2
   NGC3182     15513694208      912.294678       18.197847       28.400000       -2
   NGC3184     25740230656     7192.451172       19.967316       11.950000        4
   NGC3185     17199603712      768.469971       25.531740       24.730000        1
   NGC3206      3925471744      195.432251        5.889441       20.730000        7
   NGC3213      6071850496      362.028259       24.062424       32.029999        5
   NGC3225      9301124096      410.591125       17.798500       39.529999        5
   NGC3227     48543133696     8219.644531       34.417595       20.850000        1
   NGC3254     34785599488     1310.878296       11.445209       32.150002        3
   NGC3259     12799225856      630.336182       25.724380       34.380001        4
   NGC3277     20227186688     1579.332520       20.083126       25.000000        0
   NGC3294     52030513152     3443.935547       40.109219       29.830000        3
   NGC3310     20563677184     4114.584473       18.685112       18.100000        4
   NGC3319      6306719744     1306.880859       11.075423       16.500000        6
   NGC3320     17513795584      572.821899       32.876129       36.560001        5
   NGC3321     14306427904      478.094788       12.525643       44.529999        6
   NGC3329     22957834240      512.812378       23.699589       30.299999        1
   NGC3338     35257810944     1443.763184       15.606432       24.790001        4
   NGC3344      3290564864    13850.649414       23.033728        6.100000        4
   NGC3346     12803143680     1566.166260       18.145628       22.400000        6
   NGC3351     32641366016     5435.470215       32.997997       10.110000        1
   NGC3353      2956930048      563.389160       33.156273       18.940001       20
   NGC3359     17594290176     3020.259766       14.103477       18.809999        7
   NGC3364     13759553536      514.325256       24.745615       36.400002        4
   NGC3368      9817593856    57021.058594       27.457830       10.860000       -1
   NGC3370     19735019520     1183.856934       16.194500       27.410000        5
   NGC3380      6718760448      531.109497       23.023718       21.389999        0
   NGC3381      5769289728      323.584900        8.656388       21.719999        8
   NGC3430     31158208512     2095.048340       24.779276       29.170000        4
   NGC3455      6902302208      529.413940       15.730524       29.010000        5
   NGC3471     11962072064     1332.936768       45.140152       26.450001        0
   NGC3486     14100950016     5844.224121       22.142187       14.110000        5
   NGC3488     17049912320      446.621582       25.191944       48.400002        6
   NGC3504     25271259136     6402.520508       61.651596       20.049999        1
   NGC3512      9570764800     1280.934326       61.855366       25.000000        4
   NGC3513      4780043776     1527.641113       19.306978       13.150000        5
   NGC3521     73068683264    66078.289062       40.981133       12.080000        4
   NGC3583     41029783552     4539.191406       44.498055       30.799999        2
   NGC3611     18740189184     1168.128662       29.969261       33.299999        1
   NGC3614     27978440704      418.225403       13.129321       39.570000        4
   NGC3627     53042249728    49307.886719       43.603283       10.010000        3
   NGC3631     13789634560     5208.338867       24.217613       13.100000        4
   NGC3642     21298038784     1834.011719       12.627738       27.500000        2
   NGC3654     11800762368      304.202179       29.765785       39.049999        7
   NGC3655     30403244032     4258.464844       84.192902       30.920000        4
   NGC3672     48285417472     4270.661621       47.653446       27.120001        5
   NGC3673     33246570496     1416.157959       28.766876       24.790001        1
   NGC3675     51669135360    22121.330078       54.709187       17.200001        3
   NGC3681     17178520576     1160.836426       23.552074       24.200001        1
   NGC3682      8758738944     2153.875732       25.087595       20.120001       -1
  NGC3683A     26081787904      939.109741       24.070923       40.810001        4
   NGC3684     14478576640     1297.632324       20.756239       23.809999        5
   NGC3686     17066481664     2906.418945       16.228674       18.610001        4
   NGC3691      5833748992      450.293762       19.902567       28.280001        9
   NGC3715     18382352384     1817.003174       86.727364       40.669998        2
   NGC3718     24901421056     7771.581055       29.126492       17.000000        1
   NGC3726     29253021696     5150.666504       31.994925       16.889999        4
   NGC3729     18923177984     2399.663818       18.217100       20.180000        0
   NGC3756     17294841856     2701.299072       26.605831       21.430000        4
   NGC3780     59460612096     2552.406006       25.728283       42.619999        4
   NGC3810     30774669312     5450.948242       43.440441       18.280001        5
   NGC3876      7871143936      280.873444       23.461105       38.580002       20
   NGC3887     28362864640     4057.280762       33.196671       19.299999        4
   NGC3888     36519776256     1940.166382       48.857582       40.279999        3
   NGC3893     29925875712     5361.590820       36.756390       18.129999        5
   NGC3898     41712267264     4776.126953       29.383469       21.900000       -1
   NGC3901      1790629760       59.587250       12.020848       22.469999        7
   NGC3938     29387126784     7046.980957       24.030434       17.450001        5
   NGC3949     16630172672     3432.359863       36.855156       18.340000        5
   NGC3953     79062425600     1938.598877      100.680450       18.450001        3
   NGC3981     25500116992     2266.981934       27.878305       23.780001        4
   NGC3982     17779400704     2156.180176       45.283371       21.969999        3
   NGC3992    116394418176     9211.902344       29.857838       24.879999        2
   NGC4030     85696651264     9262.066406       57.837116       24.459999        4
   NGC4037      5197933568      132.520065        9.456018       17.200001        5
   NGC4041     27150512128     5272.851562       37.549713       22.700001        5
   NGC4045     34038767616     3232.460205       26.127956       30.940001        2
   NGC4050     51139698688     1590.864746       20.983595       33.720001        1
   NGC4051     27307524096     7835.517090       54.935081       14.580000        3
   NGC4067     23765231616      443.018982       43.213776       41.150002        2
   NGC4102     40683503616     6477.201172       75.930923       20.379999        2
   NGC4108     17254170624      784.189453       37.682896       34.209999        5
   NGC4123     16146264064     2617.283691       15.889153       21.930000        3
   NGC4127     13808946176      697.315796       20.160185       32.509998        4
   NGC4133      4680053248     1849.509644       36.494511       15.900000        2
   NGC4136      2258254592     1425.526489        9.892167        9.700000        4
   NGC4141      1174855936      104.014603       11.507375       25.360001        7
   NGC4151      8892363776    10714.678711       49.597874        9.900000        0
   NGC4152     19857848320     1526.242676       34.301868       33.509998        5
   NGC4158     59608002560       -9.895028       27.489922       56.759998        1
   NGC4162     36956393472     1256.458008       19.876436       39.130001        5
   NGC4189     27510894592     2035.797363       18.354282       30.410000        4
   NGC4207      5460023296     2218.430420       25.449677       18.040001        7
   NGC4210     19373432832      798.432983       27.542259       36.430000        4
   NGC4212     21865259008     3998.450439       46.646553       19.010000        3
   NGC4237     21761566720     2008.880737       19.390621       22.170000        3
   NGC4245      5740597760     2377.163818       20.707235        9.700000       -1
   NGC4254     54005022720    14605.083984       49.336693       15.430000        5
   NGC4273     42470883328     1391.358154       37.476944       35.189999        5
   NGC4274     58085400576     2532.730469       64.143257       16.830000        0
   NGC4276      8392452096      432.275024       13.783318       34.869999        8
   NGC4293     24712425472     6930.670898       42.445751       14.320000        0
   NGC4298     13765027840     3977.684082       80.848793       15.970000        4
   NGC4303     65166905344    16413.074219       25.621681       16.459999        5
  NGC4303A      1242741888      195.336823       10.446221       17.080000        7
   NGC4314     12778512384     5130.096191       23.073952        9.700000        1
   NGC4321     87739293696    11527.842773       25.309977       15.950000        4
   NGC4336      2280819456      554.837830       17.042814       13.360000        0
   NGC4343     24068036608     1428.490112       22.838701       27.660000        0
   NGC4351      9331623936      433.301086       14.974139       27.820000        8
   NGC4355      6337901056      674.413452       29.983936       25.350000        0
   NGC4359      2526842368      198.324493       11.346612       16.629999        9
   NGC4369     14866640896     2471.762695       51.591763       21.600000        0
   NGC4370     26485497856      463.112305       24.806717       31.700001       -4
   NGC4378     41240051712     1823.352295        9.165709       27.750000        1
   NGC4380     17742315520     2443.281250       30.149210       20.070000        2
   NGC4383      7304615936     2600.814697       44.459564       19.950001       -3
   NGC4384     11096606720      415.092010       32.273792       36.599998        8
   NGC4390      4877142528      512.511230       14.800571       25.340000        5
   NGC4394     19151906816     3528.514404       14.047885       16.799999        0
   NGC4405     12097770496      866.279785       36.129723       23.209999        1
   NGC4409      7019057152     1000.146362       21.949465       19.129999        7
   NGC4412     20725944320     1103.324341       13.574892       35.599998        4
   NGC4413      4713514496     1243.690308       22.732018       16.680000        2
   NGC4414     58236502016    20207.890625       28.549686       18.309999        4
   NGC4416      4306618368      491.180420       18.535936       18.530001        8
   NGC4424      8719924224     1409.237305       25.589245       15.950000        0
   NGC4430      5498599424     1105.494629       17.017237       17.000000        8
   NGC4448     64200843264     3017.699463       71.449722       26.530001        1
   NGC4451      9496499200      787.157837       25.915071       26.600000       20
   NGC4454     40589393920      919.205811       18.666309       35.700001        0
   NGC4457     34924027904     4247.794434       50.057243       17.400000       -1
   NGC4470      6196178432      763.343689       17.236515       22.469999        5
   NGC4480     26287415296      947.221802       29.382080       41.779999        5
   NGC4487     12533012480     1911.276611       19.236465       20.040001        7
   NGC4491       563568128      766.666138       17.914042        6.630000        0
   NGC4501    123699396608    27725.619141       76.930565       19.129999        2
   NGC4504     12325468160     1480.804565       13.874254       21.809999        5
   NGC4525      2281288448      610.513306       13.753690       15.690000        6
   NGC4535     44558643200    10651.365234       19.152449       16.959999        5
   NGC4545     19474522112      626.117981       20.084513       40.290001        5
   NGC4548     43758845952     8600.321289       36.596684       16.200001        1
   NGC4559      9460825088     7273.462891       24.172598        9.290000        6
   NGC4579    122261946368    10111.538086       36.359379       19.580000        1
   NGC4580     11192513536     1973.474365       61.623009       18.580000        1
   NGC4591     22788464640      442.247833       27.971046       48.070000        1
   NGC4594    143546580992    83945.210938       41.040066       10.390000       -1
   NGC4595      3232243200      689.794495       21.717356       16.290001        6
   NGC4606      6625467904     1040.577393       32.074512       17.080000       -2
   NGC4639     20818436096     1352.167969       49.734623       22.360001        2
   NGC4651     57331875840     5964.448730       75.627098       26.709999        3
   NGC4653     23002882048      510.041260       10.052459       40.200001        4
   NGC4654     28920954880     6275.018555       21.569675       16.360001        6
   NGC4658     15415339008     1303.917847       38.861546       31.780001        7
   NGC4680     22686109696      778.440613       33.648209       36.630001        3
   NGC4682     17320351744     1116.945801       22.066647       33.029999        4
   NGC4688      2664605184      189.315155        3.357275       17.100000        8
   NGC4689     25096904704     1891.283081       11.232293       17.889999        4
   NGC4691     29553053696     3551.358154       25.073116       22.500000        0
   NGC4701      9579982848      420.814667       11.744843       23.840000        3
   NGC4725     70650208256    15480.629883       25.136433       13.640000        1
   NGC4736     32737312768    65286.261719       25.815386        5.130000        1
   NGC4750     51155136512     3164.071289       63.057930       26.100000        1
   NGC4765      3067955200      495.722595       20.760878       21.200001       10
   NGC4779     27164346368      297.412659       22.197460       40.840000        3
   NGC4790      8459908608      953.179688       35.496521       23.520000        4
   NGC4793     40436383744     3409.497070       37.331387       32.889999        5
   NGC4795     47828918272      520.676575       17.950911       37.490002        1
   NGC4800     24320927744     3814.281250       61.253139       22.500000        1
   NGC4806      8725214208      629.580933       30.190584       32.110001        5
   NGC4814     55585755136     1102.623413       24.571815       41.459999        4
   NGC4826     27693625344    24255.183594       71.426270        5.340000        1
   NGC4897     36768288768      751.642334       16.171827       44.970001        3
   NGC4899     21871163392     1438.753906       30.936663       34.660000        5
   NGC4900     22661767168     2001.016357       44.415195       24.709999        6
   NGC4902    107790893056     2440.476807       35.207027       39.200001        3
   NGC4904     11649173504     1157.846924       26.520674       22.840000        6
   NGC4928      7968223232      726.450745       27.601089       29.080000        5
   NGC4941     20981149696     3616.561523       25.779404       18.219999        0
   NGC4961     13429274624      310.016327       22.499405       45.189999        4
   NGC4980      1797457152      327.044922       15.289239       19.030001        7
   NGC4981     26360471552     2842.455566       37.640907       24.719999        3
   NGC4995     58642145280     2758.355469       30.640495       28.910000        2
   NGC5012     53951823872     2774.531006       27.734892       39.279999        4
   NGC5016     29339367424      668.450012       26.237789       42.480000        5
   NGC5033     77400858624    14826.972656       25.766796       19.639999        5
   NGC5042      6747576320     2127.719971       18.594488       15.630000        6
   NGC5054     43149541376     4417.030762       30.841658       19.850000        4
   NGC5055     46058569728    63989.492188       30.412741        8.330000        4
   NGC5068      5146667008    10368.332031       17.551687        6.080000        7
   NGC5079     14822293504      415.523926       10.998668       31.600000        3
   NGC5085     59683454976     4166.044922       24.627590       28.900000        4
   NGC5101    106364149760     8142.227539       24.344633       27.400000        0
   NGC5105      8566344192      457.023132       18.279409       35.470001        6
   NGC5112     13539331072      632.464172        7.480878       26.459999        6
   NGC5117      7678657536       71.964294        7.677187       39.549999        7
   NGC5134      7783044096     2833.181396       23.058187       10.890000        0
   NGC5145     18402050048     1632.598145       47.718426       39.349998       -1
   NGC5194     68098916352    99795.929688       57.560158        7.910000        4
   NGC5195     22465054720    19543.453125       61.172867        7.910000        0
   NGC5205     11060603904      438.215149       19.346352       29.980000        2
   NGC5218     72264097792     1230.663086       41.600552       51.419998        1
   NGC5236    106298638336   117539.960938       46.503769        6.960000        5
   NGC5240     22332444672      635.752075       55.588409       50.970001        3
   NGC5247     67913658368     6941.105469       19.978712       22.200001        5
   NGC5248     36193931264    15575.506836       21.943415       16.879999        4
   NGC5300     10954877952     1713.833496       15.829244       21.620001        5
   NGC5313     55854342144     2770.449951       35.738377       42.520000        3
   NGC5320     19376553984      951.664368       20.543755       35.480000        4
   NGC5334     22106763264     1267.883057       11.886200       32.619999        6
   NGC5336      4773491712      292.702515       18.821527       30.990000        5
   NGC5337     34132451328      495.316223       42.156960       52.200001        0
   NGC5339     22744375296     1483.600952       21.169685       36.529999        2
   NGC5347     11183562752     2080.188965       29.169144       27.299999        1
   NGC5350     42452271104     2166.571289       23.381586       31.260000        2
   NGC5363    110051827712     6550.965332       13.680865       22.400000       -5
   NGC5371     96122748928     3655.637695       29.229956       29.480000        3
   NGC5375     51681345536      594.574585       17.199280       41.919998        1
   NGC5376     44016427008     1805.705566       39.501839       44.549999        2
   NGC5383     67842498560     1531.747681       30.147938       37.639999        1
   NGC5427     51403489280     3271.336914       40.268158       33.750000        4
   NGC5430     53557452800     2235.111328       43.400867       39.880001        3
   NGC5448     59600556032      980.050537       21.496401       36.299999        1
   NGC5457     43748962304    47875.355469        9.167521        6.930000        5
   NGC5468     44351733760      550.856079       38.614906       44.529999        6
   NGC5474      1296601344     2228.931641       12.777886        6.490000        9
   NGC5480     18063736832     1439.076782       26.886423       28.629999        5
   NGC5520     17508825088     1082.626709       17.931347       38.930000        4
   NGC5534     16716467200      433.841888       36.262794       31.799999        1
   NGC5584     15761731584     1606.336182       15.840801       26.740000        6
   NGC5595     36132020224     2193.829590       45.761318       36.160000        6
   NGC5597     39498858496      514.280151       22.829617       38.599998        5
   NGC5600    177056088064     1403.704224       38.859707       87.839996        8
   NGC5604     22324869120     1060.365967       36.479668       41.799999        4
   NGC5624      2401449984      104.031166       12.990415       25.639999        9
   NGC5633     42991198208       16.623991       23.419561       40.040001        3
   NGC5660     33433923584     1134.694092       11.566236       37.200001        5
   NGC5661     10484500480      251.136627       22.451658       48.570000        6
   NGC5665     15283636224     2035.909180       34.035610       27.700001        5
   NGC5667      5132264960      361.006744       21.732189       25.910000        5
   NGC5669     11564513280      972.546753        9.210733       24.959999        7
   NGC5676     81687822336     6098.624023       59.455212       32.450001        5
   NGC5678     49977950208     4831.683594       51.328636       29.469999        3
   NGC5691     17180372992      445.851349       12.278632       30.200001        8
   NGC5713     32179240960     5612.969727       42.540958       23.799999        2
   NGC5728     76735275008     2031.697388       11.788991       30.570000        0
   NGC5740     23134011392     2469.860352       38.355644       28.990000        2
   NGC5744      4836491264      230.701218       15.120300       35.400002        2
   NGC5750     47057264640      499.481415       31.858194       33.630001        0
   NGC5757     48961163264     2642.034668       38.031830       39.500000        1
   NGC5762      9654129664      272.234192       12.599757       43.799999       -2
   NGC5768     12808267776      742.095581       27.110922       28.830000        4
   NGC5781     10117114880     1042.162354       45.198944       31.879999       20
   NGC5783     11788713984      452.685852       12.605944       37.650002        5
   NGC5806     33876205568     3135.628662       25.838781       25.540001        2
   NGC5821       551176896      302.719727       16.878815       11.830000        1
   NGC5850     35175579648     4230.770508       12.810642       23.150000        2
   NGC5885     26775552000     1791.445801       21.273726       29.120001        5
   NGC5915     14104547328     2017.490723       51.644619       27.600000        5
   NGC5921     24902445056     3564.130371       25.247585       19.930000        3
   NGC5937     52592287744     2100.696777       52.807056       38.830002        4
   NGC5950      8191276032      303.629669       19.093855       38.380001        6
   NGC5953     19703930880     2357.639648       22.040747       27.059999       -1
   NGC5956      9187883008      585.529236       31.076345       25.350000        2
   NGC5957     13414643712     1055.002563       17.733204       24.360001        1
   NGC5958      7878463488      348.262299       20.444071       26.950001        5
