#
#                  objname | hl_names(pgc)                                                                                                                                                                                           |       pgc |   modz |   mod0 |     al2000 |     de2000 |        v |      e_v |     vrad |   e_vrad |     vvir |     pa |   incl |   logr25 | e_logr25 |  type |  bar |  ring |  multiple | compactness |     t |   e_t |   logd25 | e_logd25 |  vmaxg | e_vmaxg|   vrot | e_vrot |    m21 |  e_m21 |   mfir |     ag |    btc |   ubtc |   bvtc |    itc |
#
  ESO293-045              | PGC000800,HIPASSJ0011-41,ESOLV2930450,ESO293-045,AGC020130,6dFJ0011248-412354                                                                                                                                                                                                                                                                       |       800 |  31.32 |  32.17 |    0.19023 |  -41.39824 |     1465 |        4 |     1466 |        6 |     1261 |  138.2 |   90.0 |     0.47 |     0.03 | SBd   | B    |       |           |             |   7.8 |   0.9 |     1.06 |     0.05 |  60.24 |   3.02 |  60.24 |    NaN |  14.89 |   0.18 |    NaN |   0.05 |  14.21 |    NaN |    NaN |  14.22 |
  UGC00122                | UGC00122,RFGC0056,PGC000889,MCG+03-01-028,HIPASSJ0013+17,FGC0021,CGCG456-039,AGC000122                                                                                                                                                                                                                                                              |       889 |  30.69 |    NaN |    0.22156 |   17.02936 |      853 |        2 |      853 |        3 |      914 |  107.5 |   90.0 |     0.78 |     0.05 | I     |      |       | M         |             |   9.6 |   1.0 |     1.30 |     0.04 |  38.30 |   0.98 |  38.30 |    NaN |  14.76 |   0.10 |    NaN |   0.17 |  13.40 |    NaN |    NaN |    NaN |
  UGC00132                | UGC00132,PGC000924,MCG+02-01-026,HIPASSJ0014+12,CGCG433-036,AGC000132,2MASXJ00140077+1257499                                                                                                                                                                                                                                                        |       924 |  32.02 |  31.56 |    0.23355 |   12.96386 |     1678 |        3 |     1678 |        4 |     1718 |   15.8 |   90.0 |     0.49 |     0.03 | Sd    | B    |       |           |             |   7.9 |   0.5 |     1.12 |     0.04 |  61.99 |   2.98 |  61.99 |    NaN |  15.75 |   0.26 |    NaN |   0.45 |  14.07 |    NaN |    NaN |    NaN |
  NGC0045                 | [PDS2002]0430,UGCA004,PGC000930,NGC0045,MCG-04-01-021,IRAS00115-2327,HIPASSJ0014-23,GLXYG055.9-80.7+458,ESOLV4730010,ESO473-001,DDO223,6dFJ0014041-231050,2MIG0023,2MASXJ00140398-2310555                                                                                                                                                           |       930 |    NaN |  29.11 |    0.23444 |  -23.18183 |      466 |        2 |      468 |        2 |      332 |  158.7 |   50.0 |     0.14 |     0.03 | SABd  | B    |       |           |             |   7.8 |   0.7 |     1.79 |     0.02 |  74.63 |   1.34 |  97.41 |   1.88 |  12.00 |   0.15 |  12.34 |   0.09 |  11.04 |  -0.09 |   0.66 |    NaN |
  NGC0055                 | PGC001014,NGC0055,MCG-07-01-013,LGG004:[G93]001,IRAS00125-3928,HIPASSJ0015-39,ESOLV2930500,ESO293-050,DUKST293-001,2MASXJ00145360-3911478                                                                                                                                                                                                           |      1014 |    NaN |  26.62 |    0.24822 |  -39.19658 |      129 |        1 |      129 |        4 |      -69 |  101.0 |   90.0 |     0.99 |     0.04 | SBm   | B    |       |           |             |   8.8 |   0.8 |     2.48 |     0.01 |  58.71 |   1.64 |  58.71 |    NaN |   9.03 |   0.20 |   8.32 |   0.06 |   6.54 |  -0.04 |   0.33 |    NaN |
  NGC0059                 | [KK98]002,PGC001034,NGC0059,MCG-04-01-026,KK002,ESOLV5390040,ESO539-004,6dFJ0015251-212640,2MASXJ00152512-2126396                                                                                                                                                                                                                                   |      1034 |    NaN |  28.45 |    0.25698 |  -21.44446 |      365 |        5 |      364 |        6 |      239 |  120.8 |   90.0 |     0.28 |     0.03 | E-S0  |      |       |           |             |  -2.9 |   0.7 |     1.38 |     0.03 |  20.85 |   0.95 |  20.85 |    NaN |  16.23 |   0.28 |    NaN |   0.09 |  13.03 |  -0.02 |   0.65 |    NaN |
  UGC00156                | UGC00156,PGC001107,MCG+02-01-029,LGG003:[G93]001,HIPASSJ0016+12,CGCG433-041,AGC000156                                                                                                                                                                                                                                                               |      1107 |  31.18 |    NaN |    0.28007 |   12.35000 |     1136 |        4 |     1136 |        4 |     1172 |    7.3 |   65.4 |     0.25 |     0.03 | I     |      |       |           | D           |   9.8 |   1.0 |     1.01 |     0.05 |  51.75 |   1.47 |  56.94 |   1.65 |  14.93 |   0.09 |    NaN |   0.55 |  13.90 |  -0.22 |   0.38 |  12.59 |
  NGC0063                 | UGC00167,PGC001160,NGC0063,MCG+02-01-030,LGG003:[G93]002,IRAS00151+1110,HIPASSJ0017+11,CGCG433-042,AGC000167,2MASXJ00174552+1127012                                                                                                                                                                                                                 |      1160 |  31.25 |  31.34 |    0.29598 |   11.45033 |     1162 |        4 |     1160 |        4 |     1194 |  107.7 |   74.1 |     0.22 |     0.05 | E-S0  |      |       |           |             |  -3.4 |   3.3 |     1.23 |     0.06 | 116.43 |   4.96 | 121.06 |   5.30 |  15.67 |   0.15 |  12.04 |   0.48 |  12.20 |    NaN |    NaN |  11.12 |
  ESO539-007              | [RC2]A0016-19,UGCA005,PGC001218,MCG-03-01-027,HIPASSJ0018-19,ESOLV5390070,ESO539-007,DDO001                                                                                                                                                                                                                                                         |      1218 |  33.27 |    NaN |    0.31347 |  -19.00778 |     3199 |        6 |     3199 |        8 |     3083 |  151.2 |   56.8 |     0.19 |     0.03 | SABm  | B    |       |           |             |   8.7 |   0.6 |     1.10 |     0.03 |  30.25 |   1.48 |  36.16 |   1.80 |  15.65 |   0.23 |    NaN |   0.12 |  14.56 |  -0.43 |   0.43 |  14.01 |
  UGC00191                | [RC2]A0017+10,UGC00191,PGC001292,MCG+02-02-001,MCG+02-01-033,LGG003:[G93]003,HIPASSJ0020+10,DDO002,CGCG434-001,AGC000191                                                                                                                                                                                                                            |      1292 |  31.18 |    NaN |    0.33475 |   10.87921 |     1144 |        2 |     1144 |        3 |     1171 |  150.0 |   35.9 |     0.07 |     0.05 | Sm    |      | R     |           |             |   8.6 |   0.9 |     1.29 |     0.07 |  50.77 |   1.82 |  86.66 |   3.54 |  14.54 |   0.10 |    NaN |   0.50 |  13.37 |  -0.31 |   0.30 |  12.54 |
  ESO150-005              | PGC427676,PGC001440,LOG014,HIPASSJ0022-53,ESOLV1500050,ESO150-005                                                                                                                                                                                                                                                                                   |      1440 |  31.25 |  30.68 |    0.37397 |  -53.64788 |     1436 |        3 |     1436 |        4 |     1192 |   43.9 |   57.4 |     0.19 |     0.02 | SABd  | B    |       |           |             |   7.8 |   0.9 |     1.37 |     0.03 |  43.87 |   0.76 |  52.10 |   0.94 |  14.65 |   0.15 |    NaN |   0.08 |  13.57 |    NaN |    NaN |  12.86 |
  NGC0100                 | UGC00231,RFGC0095,PGC001525,NGC0100,MCG+03-02-009,HIPASSJ0024+16,FGC0042,EONJ006.012+16.487,EGISJ002403.0+162914,CGCG457-012,AGC000231,2MFGC00282,2MASXJ00240283+1629110                                                                                                                                                                            |      1525 |  30.60 |  31.31 |    0.40081 |   16.48681 |      838 |        3 |      842 |        2 |      892 |   55.5 |   90.0 |     0.86 |     0.03 | Sc    |      |       |           |             |   5.8 |   0.5 |     1.55 |     0.03 |  93.77 |   1.62 |  93.77 |    NaN |  13.60 |   0.07 |    NaN |   0.26 |  12.16 |  -0.14 |   0.42 |  12.19 |
  NGC0115                 | PGC001651,NGC0115,MCG-06-02-006,LGG007:[G93]001,HIPASSJ0026-33,ESOLV3500170,ESO350-017,AGC020302,6dFJ0026463-334038,2MASXJ00264631-3340381,2MASXJ00264627-3340375                                                                                                                                                                                   |      1651 |  31.92 |  32.29 |    0.44622 |  -33.67694 |     1829 |        2 |     1829 |        3 |     1648 |  122.2 |   74.4 |     0.46 |     0.03 | SBbc  | B    |       |           |             |   3.9 |   0.8 |     1.32 |     0.03 |  94.85 |   1.09 |  98.46 |   1.14 |  14.38 |   0.08 |    NaN |   0.06 |  12.90 |    NaN |    NaN |  12.51 |
  UGC00260                | UGC00260,RFGC0102,PGC001665,MCG+02-02-011,KPG010B,IRAS00244+1118,HIPASSJ0027+11,FGC0046,CGCG434-013,AGC000260,2MFGC00308,2MASXJ00270291+1135017                                                                                                                                                                                                     |      1665 |  32.51 |  32.23 |    0.45081 |   11.58380 |     2136 |        8 |     2134 |        3 |     2165 |   22.8 |   75.9 |     0.52 |     0.03 | Sc    |      |       | M         |             |   5.8 |   0.5 |     1.33 |     0.04 | 117.87 |   2.35 | 121.53 |   2.44 |  13.92 |   0.10 |  12.70 |   0.33 |  12.88 |    NaN |    NaN |  12.23 |
  ESO410-012              | PGC001740,MCG-05-02-005,HIPASSJ0028-27,ESOLV4100120,ESO410-012                                                                                                                                                                                                                                                                                      |      1740 |  31.58 |    NaN |    0.47168 |  -27.98335 |     1544 |        4 |     1544 |        6 |     1386 |  120.0 |   82.8 |     0.61 |     0.03 | Sc    |      | R     |           |             |   4.7 |   2.0 |     1.15 |     0.03 |  47.65 |   2.67 |  48.03 |   2.70 |  15.56 |   0.20 |    NaN |   0.07 |  15.02 |    NaN |    NaN |  15.30 |
  NGC0131                 | PGC199360,PGC001813,NGC0131,MCG-06-02-010,LGG007:[G93]002,IRAS00271-3332,ESOLV3500210,ESO350-021,DUKST350-002,6dFJ0029385-331535,2MASXJ00293851-3315349                                                                                                                                                                                             |      1813 |  31.32 |    NaN |    0.49403 |  -33.25980 |     1428 |        5 |     1429 |        6 |     1248 |   62.5 |   73.8 |     0.43 |     0.03 | SBb   | B    |       |           |             |   3.0 |   0.3 |     1.26 |     0.03 |  74.05 |   3.83 |  77.10 |   4.00 |  13.84 |   0.30 |  13.34 |   0.10 |  13.07 |  -0.06 |   0.45 |  12.05 |
  NGC0134                 | PGC001851,NGC0134,MCG-06-02-012,LGG007:[G93]003,IRAS00278-3331,HIPASSJ0030-33,ESOLV3500230,ESO350-023,DUKST350-001,AGC020329,6dFJ0030219-331438,2MASXJ00302189-3314432                                                                                                                                                                              |      1851 |  31.58 |  31.25 |    0.50608 |  -33.24406 |     1583 |        2 |     1584 |        4 |     1403 |   49.9 |   90.0 |     0.67 |     0.03 | SABb  | B    |       |           |             |   4.0 |   0.1 |     1.92 |     0.02 | 220.22 |   2.42 | 220.22 |    NaN |  12.46 |   0.11 |   9.69 |   0.08 |  10.09 |   0.09 |   0.69 |   9.19 |
  UGC00313                | UGC00313,PGC001924,MCG+01-02-021,LOG021,CGCG409-029,AGC000313,2MASXJ00312612+0612243                                                                                                                                                                                                                                                                |      1924 |  32.43 |    NaN |    0.52392 |    6.20675 |     2099 |        4 |     2100 |        5 |     2100 |   14.9 |   55.9 |     0.23 |     0.05 | Sbc   |      |       |           |             |   4.3 |   2.1 |     1.08 |     0.08 |  48.31 |   1.76 |  58.32 |   2.19 |  17.60 |   0.17 |    NaN |   0.12 |  13.83 |    NaN |    NaN |  12.98 |
  ESO079-003              | PGC001952,IRAS00297-6431,HIPASSJ0032-64,ESOLV0790030,ESO079-003,AGC020362,2MFGC00373,2MASXJ00320213-6415124                                                                                                                                                                                                                                         |      1952 |  32.70 |  32.60 |    0.53392 |  -64.25339 |     2623 |       11 |     2621 |        7 |     2355 |  131.1 |   90.0 |     0.80 |     0.04 | SBb   | B    |       |           |             |   3.1 |   0.6 |     1.47 |     0.03 | 191.78 |   3.40 | 191.78 |    NaN |  14.72 |   0.20 |  10.89 |   0.08 |  12.65 |    NaN |   0.62 |  11.43 |
  UGC00320                | UGC00320,RFGC0126,PGC001970,MCG+00-02-066,FGC0060,AGC000320                                                                                                                                                                                                                                                                                         |      1970 |  32.70 |  33.08 |    0.54191 |    2.57414 |     2374 |        4 |     2374 |        5 |     2356 |  171.5 |   90.0 |     0.77 |     0.02 | Sc    |      |       |           |             |   6.0 |   0.5 |     1.10 |     0.04 |  67.29 |   2.29 |  67.29 |    NaN |  16.02 |   0.30 |    NaN |   0.10 |  14.67 |    NaN |    NaN |  14.73 |
  IC1553                  | PGC001977,MCG-04-02-017,IRAS00301-2553,IC1553,HIPASSJ0032-25,ESOLV4730260,ESO473-026,6dFJ0032401-253627,2MFGC00381,2MASXJ00324011-2536271                                                                                                                                                                                                           |      1977 |  33.04 |  32.54 |    0.54448 |  -25.60754 |     2927 |        7 |     2932 |        5 |     2777 |   14.5 |   78.6 |     0.60 |     0.03 | Scd   |      |       |           |             |   7.0 |   2.0 |     1.13 |     0.05 | 110.21 |   4.77 | 112.41 |   4.87 |  15.41 |   0.17 |  12.14 |   0.07 |  13.29 |    NaN |    NaN |  12.76 |
  ESO410-018              | [RC2]A0031-31,UGCA006,PGC002044,MCG-05-02-016,LGG007:[G93]006,HIPASSJ0034-30A,ESOLV4100180,ESO410-018,DUKST410-002,DDO224                                                                                                                                                                                                                           |      2044 |  31.58 |    NaN |    0.56975 |  -30.77392 |     1584 |        3 |     1583 |        4 |     1412 |   52.6 |   32.3 |     0.06 |     0.03 | SABm  | B    |       |           |             |   8.9 |   0.5 |     1.19 |     0.03 |  25.29 |   0.85 |  47.38 |   1.75 |  14.54 |   0.16 |    NaN |   0.08 |  13.95 |    NaN |    NaN |  13.14 |
  NGC0150                 | UGCA007,PGC002052,NGC0150,MCG-05-02-018,IRAS00317-2804,HIPASSJ0034-27,ESOLV4100190,ESO410-019,DUKST410-001,AGC020385,6dFJ0034155-274813,2MASXJ00341548-2748131                                                                                                                                                                                      |      2052 |  31.58 |  31.62 |    0.57097 |  -27.80362 |     1578 |        2 |     1578 |        4 |     1418 |  117.0 |   66.9 |     0.34 |     0.03 | SBb   | B    |       |           |             |   3.4 |   0.9 |     1.55 |     0.02 | 151.37 |   1.73 | 164.56 |   1.94 |  13.78 |   0.12 |  10.67 |   0.06 |  11.38 |  -0.05 |   0.55 |  10.26 |
  NGC0148                 | PGC002053,NGC0148,MCG-05-02-017,LGG007:[G93]005,ESOLV4100200,ESO410-020,2MASXJ00341549-3147095                                                                                                                                                                                                                                                      |      2053 |  31.58 |    NaN |    0.57097 |  -31.78615 |     1574 |       92 |     1516 |        6 |     1399 |   90.4 |   90.0 |     0.44 |     0.03 | S0    |      |       |           |             |  -2.0 |   0.5 |     1.30 |     0.03 | 232.70 |  20.11 | 232.70 |    NaN |  15.32 |   0.37 |    NaN |   0.07 |  13.02 |   0.45 |   0.88 |  10.88 |
  IC1555                  | PGC722447,PGC3196421,PGC002071,MCG-05-02-019,LGG007:[G93]007,IC1555,HIPASSJ0034-30B,ESOLV4100210,ESO410-021,AGC400285,6dFJ0034328-300104,2MASXJ00343274-3001045,2DFGRSS365Z045                                                                                                                                                                      |      2071 |  31.52 |  31.25 |    0.57574 |  -30.01788 |     1547 |        4 |     1547 |        5 |     1378 |  129.3 |   65.2 |     0.25 |     0.02 | Scd   |      |       |           |             |   7.0 |   0.8 |     1.12 |     0.03 |  54.00 |   0.90 |  59.49 |   1.02 |  15.22 |   0.09 |    NaN |   0.08 |  13.77 |    NaN |    NaN |  12.96 |
  NGC0157                 | PGC002081,NGC0157,MCG-02-02-056,IRAS00322-0840,HIPASSJ0034-08,AGC400290,6dFJ0034468-082347,2MIG0070,2MASXJ00344675-0823473                                                                                                                                                                                                                          |      2081 |  31.81 |  32.24 |    0.57966 |   -8.39650 |     1654 |        8 |     1650 |        4 |     1582 |   28.1 |   61.8 |     0.29 |     0.03 | SABb  | B    |       |           |             |   4.0 |   0.2 |     1.57 |     0.02 | 136.02 |   2.23 | 154.42 |   2.60 |  13.30 |   0.13 |  10.12 |   0.19 |  10.40 |  -0.10 |   0.48 |   9.44 |
  IC1558                  | UGCA008,PGC779687,PGC002142,MCG-04-02-024,IRAS00333-2538,IC1558,HIPASSJ0035-25,ESOLV4740020,ESO474-002,DDO225                                                                                                                                                                                                                                       |      2142 |  31.58 |  29.93 |    0.59628 |  -25.37410 |     1554 |        3 |     1553 |        4 |     1404 |  143.3 |   67.5 |     0.27 |     0.03 | SABm  | B    |       |           |             |   9.0 |   0.5 |     1.45 |     0.02 |  51.80 |   0.77 |  56.05 |   0.87 |  13.99 |   0.11 |    NaN |   0.07 |  12.31 |  -0.22 |   0.33 |    NaN |
  NGC0178                 | PGC928022,PGC002349,NGC0178,MCG-02-02-078,IRAS00366-1426,IC0039,HIPASSJ0039-14A,8ZW034,2MASXJ00390839-1410222                                                                                                                                                                                                                                       |      2349 |  31.52 |    NaN |    0.65232 |  -14.17292 |     1456 |        7 |     1452 |        5 |     1355 |    3.5 |   90.0 |     0.56 |     0.03 | SBm   | B    |       |           |             |   8.7 |   1.4 |     1.32 |     0.03 |  31.97 |   1.48 |  31.97 |    NaN |  13.95 |   0.19 |  12.72 |   0.09 |  11.93 |  -0.45 |   0.33 |  11.95 |
  NGC0210                 | PGC002437,NGC0210,MCG-02-02-081,IRAS00380-1408,HIPASSJ0040-13,AGC400333,6dFJ0040350-135222,2MASXJ00403502-1352220                                                                                                                                                                                                                                   |      2437 |  31.75 |  31.38 |    0.67639 |  -13.87272 |     1637 |        4 |     1638 |        3 |     1537 |  163.0 |   55.4 |     0.22 |     0.02 | SABb  | B    |       |           |             |   3.1 |   0.8 |     1.70 |     0.02 | 126.89 |   1.27 | 154.24 |   1.63 |  13.11 |   0.17 |  12.25 |   0.09 |  11.29 |   0.01 |   0.64 |    NaN |
  ESO079-005              | PGC002445,IRAS00385-6342,HIPASSJ0040-63,ESOLV0790050,ESO079-005,AGC020461,2MFGC00487,2MASXJ00404445-6326250                                                                                                                                                                                                                                         |      2445 |  31.64 |  31.44 |    0.67893 |  -63.44072 |     1713 |        6 |     1712 |        5 |     1445 |   11.2 |   61.6 |     0.30 |     0.05 | SBcd  | B    |       |           |             |   7.0 |   0.4 |     1.29 |     0.03 |  72.60 |   1.17 |  82.53 |   1.38 |  14.11 |   0.14 |  13.98 |   0.09 |  13.11 |    NaN |    NaN |  12.57 |
  NGC0216                 | PGC833497,PGC002478,NGC0216,MCG-04-02-035,IRAS00389-2119,HIPASSJ0041-21,ESOLV5400150,ESO540-015,6dFJ0041269-210253,2MFGC00501,2MASXJ00412688-2102529                                                                                                                                                                                                |      2478 |  31.58 |  30.30 |    0.69080 |  -21.04806 |     1536 |        7 |     1538 |        6 |     1403 |   26.9 |   84.2 |     0.33 |     0.03 | S0    | B    |       |           |             |  -1.7 |   0.9 |     1.13 |     0.05 |  69.62 |   2.66 |  69.98 |   2.70 |  14.23 |   0.19 |    NaN |   0.09 |  13.60 |  -0.13 |   0.42 |  11.99 |
  PGC002492               | PGC002492,MCG-03-02-040,HIPASSJ0041-16,2MASXJ00414555-1651389                                                                                                                                                                                                                                                                                       |      2492 |  31.64 |  32.06 |    0.69596 |  -16.86171 |     1552 |        5 |     1552 |        5 |     1438 |  171.3 |   51.0 |     0.17 |     0.02 | Sab   | B    |       |           |             |   2.0 |   2.0 |     1.15 |     0.04 |  61.68 |   2.45 |  79.40 |   3.21 |  14.81 |   0.10 |    NaN |   0.12 |  13.81 |    NaN |    NaN |  12.93 |
  ESO540-016              | [RC2]A0039-18,RFGC0161,PGC871905,PGC002526,MCG-03-02-041,LOG029,HIPASSJ0042-18,FGC0082,ESOLV5400160,ESO540-016,AGC020471,6dFJ0042147-180942,2MFGC00515,2MASXJ00421469-1809424                                                                                                                                                                       |      2526 |  31.64 |  32.13 |    0.70409 |  -18.16172 |     1554 |        6 |     1553 |        3 |     1433 |   76.3 |   90.0 |     0.82 |     0.03 | SBc   | B    |       |           |             |   6.0 |   0.6 |     1.49 |     0.03 |  85.85 |   1.22 |  85.85 |    NaN |  14.33 |   0.14 |    NaN |   0.09 |  12.88 |    NaN |    NaN |  13.01 |
  IC1574                  | [PDS2002]0510,UGCA009,PGC817130,PGC002578,MCG-04-02-043,IC1574,HIPASSJ0043-22,GLXYG101.0-84.8+360,ESOLV4740180,ESO474-018,DDO226                                                                                                                                                                                                                    |      2578 |    NaN |  28.46 |    0.71768 |  -22.24756 |      361 |        2 |      361 |        3 |      222 |  175.9 |   90.0 |     0.42 |     0.02 | IB    | B    |       |           |             |   9.9 |   0.5 |     1.26 |     0.03 |  20.36 |   0.78 |  20.36 |    NaN |  15.60 |   0.12 |    NaN |   0.07 |  13.63 |  -0.08 |   0.49 |  13.51 |
  NGC0244                 | VV728,UGCA010,PGC002675,NGC0244,MCG-03-03-003,HIPASSJ0045-15,6dFJ0045464-153549,2MIG0089,2MASXJ00454643-1535487                                                                                                                                                                                                                                     |      2675 |  30.50 |    NaN |    0.76290 |  -15.59687 |      941 |        4 |      940 |        4 |      831 |    NaN |    0.0 |     0.00 |     0.05 | S0    |      |       |           |             |  -2.0 |   0.5 |     1.02 |     0.08 |  23.66 |   1.31 |    NaN |    NaN |  15.68 |   0.20 |    NaN |   0.09 |  13.69 |    NaN |    NaN |  12.31 |
  PGC002689               | [RC2]A0043-11,PGC002689,MCG-02-03-009,HIPASSJ0046-11,DDO005                                                                                                                                                                                                                                                                                         |      2689 |  31.75 |    NaN |    0.76760 |  -11.50545 |     1619 |        3 |     1619 |        4 |     1528 |    NaN |   33.8 |     0.06 |     0.08 | Sm    | B    |       |           |             |   8.8 |   1.0 |     1.27 |     0.10 |  40.37 |   1.55 |  72.55 |   3.49 |  14.71 |   0.13 |    NaN |   0.12 |  14.24 |  -0.24 |   0.40 |    NaN |
  UGC00477                | UGC00477,PGC002699,MCG+03-03-002,LOG032,KPG015A,HIPASSJ0046+19,CGCG458-004,AGC000477,2MFGC00556,2MASXJ00461315+1929236                                                                                                                                                                                                                              |      2699 |  32.97 |  32.93 |    0.77032 |   19.48992 |     2649 |        3 |     2648 |        4 |     2710 |  168.5 |   90.0 |     0.60 |     0.06 | Sd    |      |       |           |             |   7.9 |   0.9 |     1.48 |     0.05 | 103.80 |   2.71 | 103.80 |    NaN |  14.27 |   0.11 |    NaN |   0.16 |  14.01 |    NaN |    NaN |    NaN |
